,detector_1,detector_2,dist
999,1732,1409,5500
1000,1732,1410,5500
1001,1732,1411,5500
1002,1732,1401,9588
1003,1732,1402,9588
1004,1732,1403,9588
1005,1732,1393,9638
1006,1732,1394,9638
1007,1732,1395,9638
1008,1732,1953,8742
1009,1732,1954,8742
1010,1732,1955,8742
1011,1732,1945,13208
1012,1732,1946,13208
1013,1732,1947,13208
1014,1732,1385,15340
1015,1732,1386,15340
1016,1732,1387,15340
1017,1732,1377,22838
1018,1732,1378,22838
1019,1732,1379,22838
1020,1417,1409,2563
1021,1417,1410,2563
1022,1417,1411,2563
1023,1417,1401,6651
1024,1417,1402,6651
1025,1417,1403,6651
1026,1417,1393,6701
1027,1417,1394,6701
1028,1417,1395,6701
1029,1417,1953,5805
1030,1417,1954,5805
1031,1417,1955,5805
1032,1417,1945,10271
1033,1417,1946,10271
1034,1417,1947,10271
1035,1417,1385,12403
1036,1417,1386,12403
1037,1417,1387,12403
1038,1417,1377,19901
1039,1417,1378,19901
1040,1417,1379,19901
1041,1418,1409,2563
1042,1418,1410,2563
1043,1418,1411,2563
1044,1418,1401,6651
1045,1418,1402,6651
1046,1418,1403,6651
1047,1418,1393,6701
1048,1418,1394,6701
1049,1418,1395,6701
1050,1418,1953,5805
1051,1418,1954,5805
1052,1418,1955,5805
1053,1418,1945,10271
1054,1418,1946,10271
1055,1418,1947,10271
1056,1418,1385,12403
1057,1418,1386,12403
1058,1418,1387,12403
1059,1418,1377,19901
1060,1418,1378,19901
1061,1418,1379,19901
1062,1419,1409,2563
1063,1419,1410,2563
1064,1419,1411,2563
1065,1419,1401,6651
1066,1419,1402,6651
1067,1419,1403,6651
1068,1419,1393,6701
1069,1419,1394,6701
1070,1419,1395,6701
1071,1419,1953,5805
1072,1419,1954,5805
1073,1419,1955,5805
1074,1419,1945,10271
1075,1419,1946,10271
1076,1419,1947,10271
1077,1419,1385,12403
1078,1419,1386,12403
1079,1419,1387,12403
1080,1419,1377,19901
1081,1419,1378,19901
1082,1419,1379,19901
1083,1409,1401,4368
1084,1409,1402,4368
1085,1409,1403,4368
1086,1409,1393,4804
1087,1409,1394,4804
1088,1409,1395,4804
1089,1409,1953,3908
1090,1409,1954,3908
1091,1409,1955,3908
1092,1409,1945,12225
1093,1409,1946,12225
1094,1409,1947,12225
1095,1409,1385,14358
1096,1409,1386,14358
1097,1409,1387,14358
1098,1409,1377,21856
1099,1409,1378,21856
1100,1409,1379,21856
1101,1410,1401,4368
1102,1410,1402,4368
1103,1410,1403,4368
1104,1410,1393,4804
1105,1410,1394,4804
1106,1410,1395,4804
1107,1410,1953,3908
1108,1410,1954,3908
1109,1410,1955,3908
1110,1410,1945,12225
1111,1410,1946,12225
1112,1410,1947,12225
1113,1410,1385,14358
1114,1410,1386,14358
1115,1410,1387,14358
1116,1410,1377,21856
1117,1410,1378,21856
1118,1410,1379,21856
1119,1411,1401,4368
1120,1411,1402,4368
1121,1411,1403,4368
1122,1411,1393,4804
1123,1411,1394,4804
1124,1411,1395,4804
1125,1411,1953,3908
1126,1411,1954,3908
1127,1411,1955,3908
1128,1411,1945,12225
1129,1411,1946,12225
1130,1411,1947,12225
1131,1411,1385,14358
1132,1411,1386,14358
1133,1411,1387,14358
1134,1411,1377,21856
1135,1411,1378,21856
1136,1411,1379,21856
1137,1401,1393,9430
1138,1401,1394,9430
1139,1401,1395,9430
1140,1401,1953,8534
1141,1401,1954,8534
1142,1401,1955,8534
1143,1401,1945,13000
1144,1401,1946,13000
1145,1401,1947,13000
1146,1401,1385,15133
1147,1401,1386,15133
1148,1401,1387,15133
1149,1401,1377,22631
1150,1401,1378,22631
1151,1401,1379,22631
1152,1402,1393,9430
1153,1402,1394,9430
1154,1402,1395,9430
1155,1402,1953,8534
1156,1402,1954,8534
1157,1402,1955,8534
1158,1402,1945,13000
1159,1402,1946,13000
1160,1402,1947,13000
1161,1402,1385,15133
1162,1402,1386,15133
1163,1402,1387,15133
1164,1402,1377,22631
1165,1402,1378,22631
1166,1402,1379,22631
1167,1403,1393,9430
1168,1403,1394,9430
1169,1403,1395,9430
1170,1403,1953,8534
1171,1403,1954,8534
1172,1403,1955,8534
1173,1403,1945,13000
1174,1403,1946,13000
1175,1403,1947,13000
1176,1403,1385,15133
1177,1403,1386,15133
1178,1403,1387,15133
1179,1403,1377,22631
1180,1403,1378,22631
1181,1403,1379,22631
1182,1393,1953,4671
1183,1393,1954,4671
1184,1393,1955,4671
1185,1393,1945,9148
1186,1393,1946,9148
1187,1393,1947,9148
1188,1393,1385,11280
1189,1393,1386,11280
1190,1393,1387,11280
1191,1393,1377,18779
1192,1393,1378,18779
1193,1393,1379,18779
1194,1394,1953,4671
1195,1394,1954,4671
1196,1394,1955,4671
